authour,category,date,push,title,url
ken84918196,3, 9/30,11,音樂   李紅   REDLEE   X   PONY5IBE   走 投無路,/bbs/Hip-Hop/M.1569816651.A.DE4.html
yuxds,3, 9/30,1,音樂   HorseKing   Cypher   2019   福克斯 多雷 潘潘,/bbs/Hip-Hop/M.1569824416.A.AC7.html
bbsbbbbsbb,11, 9/15,2,專欄   Chance   the   Rapper   暖 光四射 揉合 嘻哈 福音,/bbs/Hip-Hop/M.1568554045.A.10E.html
qwtl0213,3, 9/16,2,音樂   Lil   Nas   X   ft   DaBaby     Panini   Remix,/bbs/Hip-Hop/M.1568570123.A.016.html
rickybon,9, 9/16,19,趣味   Netflix   嘻哈 演化史   HipHop   Evolution  ,/bbs/Hip-Hop/M.1568575646.A.684.html
pantera,10, 9/24,45,Re   討論   YZ 于耀智 的 實力,/bbs/Hip-Hop/M.1569291184.A.F76.html
simonsmoove,11, 9/24,8,劉聰   KeyL   兩個 世界,/bbs/Hip-Hop/M.1569292215.A.240.html
qwerty666,6, 9/24,20,問題   187 現在 在 幹 嘛,/bbs/Hip-Hop/M.1569292378.A.ED4.html
alicewolf,3, 9/20,4,音樂   黃 右 年     Ya   I   Rap,/bbs/Hip-Hop/M.1568993629.A.BDD.html
jery1760,3, 9/21,9,音樂   屁孩 Ryan 啵 屁 啵 JSheon 啵 啦   Remix,/bbs/Hip-Hop/M.1568995512.A.EA0.html
Hydra1999,3, 9/21,6,音樂   8Ball     塑膠   ft   Herman   Stan,/bbs/Hip-Hop/M.1568998798.A.95F.html
chunx2,3, 9/30,6,音樂   EyeballRay   Write   Down,/bbs/Hip-Hop/M.1569829211.A.BE0.html
aa2378924,3, 9/30,9,音樂   蛋頭   夏日 風情畫   重新 上傳,/bbs/Hip-Hop/M.1569831703.A.041.html
f51403,5, 9/30,28,討論   韓國 Rapbeat   Festival   一遊,/bbs/Hip-Hop/M.1569840406.A.CFB.html
KarlMarx,5, 9/30,83,討論   CBLOCK 劉聰 Key   to   L 專輯,/bbs/Hip-Hop/M.1569841159.A.0C1.html
pp771017,5, 9/16,X4,討論   高爾宣 算是 台灣 阿姆 了 嗎,/bbs/Hip-Hop/M.1568594858.A.E7F.html
s3915823,3, 9/16,1,音樂   Luk     Earphones,/bbs/Hip-Hop/M.1568598632.A.2BA.html
iverson927,5, 9/16,91,討論   天份 及才華 最高 的 Rapper,/bbs/Hip-Hop/M.1568619410.A.88D.html
Luvsic,3, 9/17,4,音樂   Anderson   Paak     Old   Town   Road,/bbs/Hip-Hop/M.1568698715.A.992.html
Luvsic,3, 9/17,3,音樂   Danny   Brown     Best   Life,/bbs/Hip-Hop/M.1568699886.A.586.html
sclbtlove,3, 9/11,28,音樂   西屯 純愛組 Feat   BG8LOCC     UDLR,/bbs/Hip-Hop/M.1568133066.A.723.html
wlnspt,3, 9/11,8,音樂   POPO   J     FAKER,/bbs/Hip-Hop/M.1568148666.A.4D8.html
KillGirlPig,6, 9/11,8,問題   詢 一首 中國 饒舌歌,/bbs/Hip-Hop/M.1568192783.A.B74.html
rosehead48,7, 9/24,9,創作   自己 做 的 beat,/bbs/Hip-Hop/M.1569315414.A.1A8.html
abc1212050,3, 9/24,2,音樂   DaBaby     Intro,/bbs/Hip-Hop/M.1569319980.A.CB1.html
KarlMarx,3, 9/24,1,音樂   Jessi       Who   Dat   B,/bbs/Hip-Hop/M.1569336037.A.359.html
owliper,6, 9/21,21,問題   國外 饒 舌 歌手 的 牛肉 和 新聞,/bbs/Hip-Hop/M.1569030041.A.7D4.html
yoiverson,5, 9/21,23,討論   欸   AOMG 的 禹元 宰 跟 老 莫 也 長 太 像 了 吧,/bbs/Hip-Hop/M.1569040893.A.1D5.html
zxcc56783,3, 9/21,3,音樂   Lil   Gotit     Da   Real   HoodBabies   Remix,/bbs/Hip-Hop/M.1569053314.A.DBB.html
xxxgon860821,3, 9/30,5,音樂   ZICO     Daredevil,/bbs/Hip-Hop/M.1569844465.A.1CA.html
brad0625,3,10/01,4,音樂   風子   K4ZEKill   the   畢,/bbs/Hip-Hop/M.1569859671.A.5BF.html
chunx2,3,10/02,19,音樂   te   壞特     Sant é,/bbs/Hip-Hop/M.1570019649.A.D62.html
MF3HD,3, 9/17,15,音樂 Post   MaloneHollywoods   Bleeding 解析,/bbs/Hip-Hop/M.1568703071.A.1E4.html
lagay,6, 9/17,X3,問題   阿姆 可以 算是 美國 高爾宣 了 麻,/bbs/Hip-Hop/M.1568713565.A.22F.html
HolaDiego,7, 9/17,1,創作   RUYARush   RushMV,/bbs/Hip-Hop/M.1568735608.A.F4C.html
bbsbbbbsbb,3, 9/11,4,音樂   KID   FRESINO     Coincidence   光哥 貼 音樂,/bbs/Hip-Hop/M.1568192969.A.68F.html
bbsbbbbsbb,11, 9/11,5,文章   Metro   Boomin     紮 實 才子 體內 怎麼 流 都 是 Beat,/bbs/Hip-Hop/M.1568203947.A.D56.html
subsonic,3, 9/11,1,音樂   法老 壽君超   Remix   阿姆   Lucky   You,/bbs/Hip-Hop/M.1568212297.A.66F.html
chunx2,3, 9/12,34,音樂   熱狗   Feat   J   Sheon   失眠 是 一種 病,/bbs/Hip-Hop/M.1568261555.A.ABA.html
ebey30918,5, 9/12,98,討論   求 推薦   帶有 怒氣 的   中文 饒舌,/bbs/Hip-Hop/M.1568269600.A.AF9.html
freemanlex,10, 9/08,X7,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1567902088.A.423.html
nwhgms39,11, 9/08,13,2019   韓國   super   swag   festival,/bbs/Hip-Hop/M.1567903153.A.6A4.html
chen60204,3, 9/09,20,音樂   KHOW 高浩哲 日頭 赤 炎炎,/bbs/Hip-Hop/M.1567963901.A.E1B.html
sjwatson,10, 9/09,2,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1567964435.A.002.html
wayne6213,3, 9/21,71,音樂   Jnco   荊軻     Young   OG,/bbs/Hip-Hop/M.1569055397.A.4D2.html
sclbtlove,3, 9/21,3,音樂   LZER4RESTJAYROLL     Feat   JAYROLL,/bbs/Hip-Hop/M.1569059333.A.357.html
hentaizura,3,10/02,10,音樂   RPG   ft   RED ° 芮德   –   So   In   Love   With   Y,/bbs/Hip-Hop/M.1570031230.A.C5D.html
JEWH,5,10/03,爆,討論   小春 與 呆 寶靜 離婚 了,/bbs/Hip-Hop/M.1570075913.A.CDC.html
Irene309,11,10/03,9,Fw   情報   SikK   FL1P   WORLD   TOUR   ASIA   IN   TAIPEI,/bbs/Hip-Hop/M.1570084463.A.F9C.html
ji3leaf,3, 9/18,30,音樂   劉聰 KeyL     離家 出走,/bbs/Hip-Hop/M.1568739467.A.56F.html
yuxds,3, 9/18,8,音樂   李杰 明炙愛   feat   陳 忻玥,/bbs/Hip-Hop/M.1568763835.A.9E3.html
nayeonmywife,9, 9/18,9,趣味   賀瓏     我 的 脫口秀 有嘻哈,/bbs/Hip-Hop/M.1568777022.A.971.html
KarlMarx,3, 9/12,5,音樂   KE 柯蕭江郎 FtDYoung   MV,/bbs/Hip-Hop/M.1568301881.A.E8A.html
brad0625,4, 9/13,1,活動   松農嘻研   NO   PAY   NO   GAIN 派 對,/bbs/Hip-Hop/M.1568305289.A.97A.html
supreme32,11, 9/13,6,JpegmafiaAll   my   Heroes   are   Cornballs,/bbs/Hip-Hop/M.1568333069.A.F17.html
akamac,10, 9/09,12,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1567987538.A.D6A.html
yuxds,10, 9/09,1,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1568024664.A.EB6.html
yji3vu4gj4,10, 9/09,13,Re   音樂   大支 高舉 拳頭,/bbs/Hip-Hop/M.1568025044.A.E58.html
yuxds,9, 9/09,6,趣味   Jony   J   X   老莫     火鍋 桌邊 閒聊,/bbs/Hip-Hop/M.1568031099.A.921.html
bbsbbbbsbb,3, 9/09,1,音樂   貫徹 另類 饒 舌 藝術 的 最強 團體 光哥 貼 音樂,/bbs/Hip-Hop/M.1568032664.A.4F4.html
KarlMarx,3, 9/05,4,音樂   Post   Malone     Circles   MV,/bbs/Hip-Hop/M.1567677134.A.242.html
yang0405,5, 9/05,41,討論   中國 新 說 唱 3   are   you   ready,/bbs/Hip-Hop/M.1567678711.A.63B.html
js2a117573,3, 9/05,4,音樂   問 一首 饒舌歌,/bbs/Hip-Hop/M.1567697647.A.B4B.html
hugh60206,3,10/03,58,音樂   金音 10   嘻哈節 奏 藍調   入圍 名單,/bbs/Hip-Hop/M.1570087682.A.37E.html
